thoothukudi_kovilpatti|Kovilpatti Government Hospital
thanjavur_budalur|Budalur Government Hospital
chengalpattu_maduravoyal|Maduravoyal Government Hospital
ranipet_ambur|Ambur Government Hospital
virudhunagar_watrap|Watrap Government Hospital
krishnagiri_pochampalli|Pochampalli Government Hospital
tirupathur_ambur|Ambur Government Hospital
kallakurichi_tirukoilur|Tirukoilur Government Hospital
dindigul_vattalkundu|Vattalkundu Government Hospital
karur_k.pudupatti|K.Pudupatti Government Hospital
sivagangai_thirupathur|Thirupathur Government Hospital
tenkasi_shenkottai|Shenkottai Government Hospital
mayiladuthurai_tharangambadi|Tharangambadi Government Hospital
nilgiris_kagguchi|Kagguchi Government Hospital
kanyakumari_midalam|Midalam Government Hospital
tiruvarur_thirukannamangai|Thirukannamangai Government Hospital
tiruvannamalai_kanji|Kanji Government Hospital
krishnagiri_veppanapalli|Veppanapalli Government Hospital
thanjavur_adanur|Adanur Government Hospital
tirupathur_parvathipuram|Parvathipuram Government Hospital
chennai_ambattur|Ambattur Government Hospital
perambalur_perambalur|Government Hospital Perambalur
tiruvarur_mannargudi|Mannargudi Government Hospital
krishnagiri_krishnagiri|Krishnagiri Government Hospital
tiruvallur_avadi|Avadi Government Hospital
ariyalur_thirumanur|Government Hospital Thirumanur
kancheepuram_poonamallee|Poonamallee Government Hospital
virudhunagar_puliyangudi|Puliyangudi Government Hospital
namakkal_sendamangalam|Sendamangalam Government Hospital
chengalpattu_thirukkazhukundram|Thirukkazhukundram Government Hospital
theni_teekkar|Teekkar Government Hospital
thanjavur_thanjavur|Thanjavur Medical College Hospital
madurai_sholavandan|Sholavandan Government Hospital
theni_cumbum|Cumbum Government Hospital
villupuram_kandachipuram|Kandachipuram Government Hospital
sivagangai_thirukostiyur|Thirukostiyur Government Hospital
trichy_ponmalai|Ponmalai Government Hospital
kallakurichi_thirunavalur|Thirunavalur Government Hospital
tiruvallur_thiruninravur|Thiruninravur Government Hospital
dindigul_vadamadurai|Vadamadurai Government Hospital
theni_kambam|Kambam Government Hospital
krishnagiri_kelamangalam|Kelamangalam Government Hospital
ranipet_thiruvalam|Thiruvalam Government Hospital
tirunelveli_palayamkottai|Palayamkottai Government Hospital
ramanathapuram_paramakudi|Paramakudi Government Hospital
thanjavur_orangallur|Orangallur Government Hospital
perambalur_venbavur|Venbavur Government Hospital
coimbatore_sulur|Sulur Government Hospital
kallakurichi_ulundurpet|Ulundurpet Government Hospital
karur_thanthoni|Thanthoni Government Hospital
karur_kulithalai|Kulithalai Government Hospital
mayiladuthurai_mangaimadam|Mangaimadam Government Hospital
nilgiris_thalayathimund|Thalayathimund Government Hospital
tiruvallur_red hills|Red Hills Government Hospital
chengalpattu_mamallapuram|Mamallapuram Government Hospital
mayiladuthurai_kuthalam|Kuthalam Government Hospital
karur_thogamalai|Thogamalai Government Hospital
villupuram_mailam|Mailam Government Hospital
pudukkottai_minnathur|Minnathur Government Hospital
thoothukudi_kayalpattinam|Kayalpattinam Government Hospital
thoothukudi_karungulam|Karungulam Government Hospital
tirunelveli_melapalayam|Melapalayam Government Hospital
dindigul_dindigul|Government Dindigul Medical College Hospital
tirunelveli_sankarankovil|Sankarankovil Government Hospital
ariyalur_kovilur|Government Hospital Kovilur
salem_kadayampatti|Kadayampatti Government Hospital
tiruvannamalai_ananthur|Ananthur Government Hospital
kanyakumari_pechipparai|Pechipparai Government Hospital
trichy_manachanallur|Manachanallur Government Hospital
salem_attur|Attur Government Hospital
thanjavur_papanasam|Papanasam Government Hospital
tirunelveli_cheranmahadevi|Cheranmahadevi Government Hospital
tiruvannamalai_vandavasi|Vandavasi Government Hospital
perambalur_olakkur|Olakkur Government Hospital
salem_tharamangalam|Tharamangalam Government Hospital
virudhunagar_chettikurichi|Chettikurichi Government Hospital
nagapattinam_nagakudi|Nagakudi Government Hospital
sivagangai_sakkottai|Sakkottai Government Hospital
ranipet_timiri|Timiri Government Hospital
dindigul_ambathurai|Ambathurai Government Hospital
kancheepuram_walajabad|Walajabad Government Hospital
thanjavur_thiruppanandal|Thiruppanandal Government Hospital
tiruvannamalai_chengam|Chengam Government Hospital
erode_chithode|Chithode Government Hospital
nilgiris_gudalur|Gudalur Government Hospital
tiruppur_samalapuram|Samalapuram Government Hospital
chennai_mylapore|Mylapore Government Hospital
mayiladuthurai_vazhkai|Vazhkai Government Hospital
trichy_musiri|Musiri Government Hospital
krishnagiri_mathur|Mathur Government Hospital
ramanathapuram_erwadi|Erwadi Government Hospital
